Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
In Search Of	Miike Snow	Christian Karlsson, Pontus Winnberg & Andrew Wyatt	Miike Snow (Deluxe Edition)		Alternative	11020546	315	1	1	10	16	2010	5/17/14, 2:21 PM	3/2/14, 1:12 PM	256	44100		Purchased AAC audio file			16	9/4/14, 1:52 PM	1	3/24/14, 8:46 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Miike Snow:Miike Snow (Deluxe Edition):10 In Search Of.m4a
18 Candles	The Sessions		The Sessions Is Listed As In a Relationship		Dance	9575946	276	1	1	3	6	2008	5/17/14, 4:49 PM	3/9/09, 5:19 PM	256	44100		Purchased AAC audio file			37	9/4/14, 1:57 PM	3	9/17/14, 9:36 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:The Sessions:The Sessions Is Listed As In a Relationship:03 18 Candles.m4a
Rapper's Delight	The Sugar Hill Gang	Bernard Edwards, Nile Rodgers	The Best Of The Sugar Hill Gang		Hip Hop/Rap	29741874	877	1	1	1	11	1979	2/7/13, 9:46 PM	12/10/06, 4:07 PM	256	44100		Matched AAC audio file			8	8/31/14, 11:22 AM	1	3/26/14, 10:04 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Compilations:The Best Of The Sugar Hill Gang:01 Rapper's Delight.m4a
Radioactive	Imagine Dragons	Dan Reynolds, Wayne Sermon, Ben McKee, Alex Da Kid & Josh Mosser	Night Visions		Alternative	6830526	186	1	1	1	13	2012	11/1/13, 5:06 PM	8/25/13, 1:56 PM	256	44100		Purchased AAC audio file			3	8/31/14, 11:25 AM	1	9/4/14, 1:58 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Imagine Dragons:Night Visions:01 Radioactive.m4a
What's Going On	Senser		Stacked Up		Rock	10753668	307	1	1	5	13	1995	2/2/13, 11:07 PM	6/18/06, 2:41 AM	256	44100		Purchased AAC audio file		kick ass, AG# 96AE1FC4	34	9/3/14, 9:46 AM	661	9/17/14, 9:36 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Senser:Stacked Up:What's Going On.m4a
Walking On a Dream	Empire of the Sun	Luke Steele, Nick Littlemore & Jonathan Sloan	Walking On a Dream		Alternative	6998157	198	1	1	2	11	2009	9/26/14, 10:43 AM	4/3/12, 8:52 PM	256	44100		Purchased AAC audio file			149	9/28/14, 4:55 PM	9	9/26/14, 10:43 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Empire of the Sun:Walking On a Dream:02 Walking On a Dream.m4a
Shining Down (feat. Matthew Santos) [Bonus Track]	Lupe Fiasco	Lupe Fiasco & Soundtrakk	Lasers (Deluxe Version)		Hip-Hop/Rap	9493266	274	1	1	14	14	2011	9/26/14, 10:46 AM	8/14/13, 10:26 AM	256	44100		Purchased AAC audio file			19	9/26/14, 10:51 AM	3	9/17/14, 9:36 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Lupe Fiasco:Lasers (Deluxe Version):14 Shining Down (feat. Matthew Santos) [Bonus Track].m4a
A Complicated Song (Parody of "Complicated" by Avril Lavigne)	"Weird Al" Yankovic	Avril Lavigne, Graham Edwards, Lauren Christy & Scott Alspach	Poodle Hat		Pop	7967731	219	1	1	7	12	2003	9/26/14, 10:51 AM	12/15/06, 1:02 PM	256	44100		Matched AAC audio file			59	9/26/14, 10:55 AM	93	3/12/14, 2:26 PM	20	nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:_Weird Al_ Yankovic:Poodle Hat:07 A Complicated Song (Parody of _Complicated_ by Avril Lavigne).m4a
Ebay (Parody of "I Want It That Way" by the Backstreet Boys)	"Weird Al" Yankovic	Andreas Carlsson & Max Martin	Poodle Hat		Pop	7876812	216	1	1	11	12	2003	9/26/14, 10:55 AM	12/15/06, 1:01 PM	256	44100		Matched AAC audio file			31	1/19/12, 9:28 PM	3	9/17/14, 9:36 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:_Weird Al_ Yankovic:Poodle Hat:11 Ebay (Parody of _I Want It That Way_ by the Backstreet Boys).m4a
White & Nerdy (Parody of "Ridin'")	"Weird Al" Yankovic	Anthony Henderson, Hakeem Seriki, Juan Carlos Salinas & Oscar Salinas	Straight Outta Lynwood		Comedy	6338351	170	1	1	1	12	2006	4/6/13, 10:57 AM	12/15/06, 12:56 PM	256	44100		Matched AAC audio file			50	3/1/14, 1:52 PM	120			nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:_Weird Al_ Yankovic:Straight Outta Lynwood:01 White & Nerdy (Parody of _Ridin'_ By Chamillionaire featuring Krayzie Bone).m4a
